Sector0MD5	Unique	FirstUniqueByte	FileSizeBytes	FileName
3C3D712143C6E6F35075904ADFC8D759	True	0	650428416	H:\Emulation\3DO\ALL_3DO_ROMS\Coverdiscs\Live! 3DO Magazine CD-ROM #10 (1996)(Tokumashoten Intermedia)(JP)[!].zip
3CD13D777A6FA1434C1FF0B2E50C58B0	True	0	415109120	H:\Emulation\3DO\ALL_3DO_ROMS\Multimedia\Life Stage, The - Virtual House (1994)(Panasonic)(JP)[!].zip
3CD9645C2EB927157A187CFD60205A8B	True	0	419741696	H:\Emulation\3DO\ALL_3DO_ROMS\Games\Striker - World Cup Special (1995)(Panasonic)(EU)[!].zip
3D010BAC3FC82E00A96B0FC26C6C4690	False	-1	629760000	H:\Emulation\3DO\ALL_3DO_ROMS\Games\PGA Tour 96 (1995)(EA Sports)(EU)[!].zip
3D010BAC3FC82E00A96B0FC26C6C4690	False	-1	629764096	H:\Emulation\3DO\ALL_3DO_ROMS\Games\PGA Tour 96 (1995)(EA Sports)(US)[!].zip
4054A1320C88899712CCFA8FEC054FAB	True	0	367616000	H:\Emulation\3DO\ALL_3DO_ROMS\Games\Alone in the Dark (1994)(Interplay)(US)[!].zip
407B1A68AB9FAB37A83EC6089B1A8D10	False	-1	420352000	H:\Emulation\3DO\ALL_3DO_ROMS\Games\John Madden Football (1994)(EA Sports)(US)[!][722007-2 70].zip
407B1A68AB9FAB37A83EC6089B1A8D10	False	-1	420044800	H:\Emulation\3DO\ALL_3DO_ROMS\Games\John Madden Football (1994)(EA Sports)(US)[!][722007-2 R73].zip
4088A0DC7DF310CBEFE7B9106E6F7372	True	0	328077312	H:\Emulation\3DO\ALL_3DO_ROMS\Games\BC Racers (1995)(GoldStar)(EU-US)[!].zip
40C37CBCD4684BCA7B2D1A5190636280	True	0	498688000	H:\Emulation\3DO\ALL_3DO_ROMS\Games\Samurai Shodown (1994)(Crystal Dynamics)(EU-US)[!].zip
40E389A90B13405B9C944AA011B4AA69	True	0	525209600	H:\Emulation\3DO\ALL_3DO_ROMS\Multimedia\Woody Woodpecker and Friends - Volume One (1994)(MCA Universal Home Video)(US)[!].zip
4143AC09D6D2DF97159CA35536E69457	True	0	381554688	H:\Emulation\3DO\ALL_3DO_ROMS\Adult\Virtual Vivid (1993)(Vivid Interactive)(US)[!][GL VIRTUA RE-1].zip
421760E87D29AC9851638E866E035395	True	0	294215680	H:\Emulation\3DO\ALL_3DO_ROMS\Applications\Nais How's 1 - Front How's '95-'96 v1.0 R2.0 (1995)(National)(JP).zip
42238F52DEB770B72B9127DC1986DB89	True	0	438919168	H:\Emulation\3DO\ALL_3DO_ROMS\Samplers\Doraemons, The - Yuujou Densetsu (demo) (1995)(Panasonic)(JP).zip
4250DE2A2BDD3FF276F5303CA0BCC631	False	-1	655974400	H:\Emulation\3DO\ALL_3DO_ROMS\Games\Shockwave 2 - Beyond the Gate (1995)(Electronic Arts)(EU)(Disc 2 of 2)[!].zip
4250DE2A2BDD3FF276F5303CA0BCC631	False	-1	655978496	H:\Emulation\3DO\ALL_3DO_ROMS\Games\Shockwave 2 - Beyond the Gate (1995)(Electronic Arts)(US)(Disc 2 of 2)[!].zip
428012C8FB8D501B623D3495CA95CF7A	True	0	409559040	H:\Emulation\3DO\ALL_3DO_ROMS\Multimedia\Life Stage, The - Virtual House (1993)(Panasonic)(US)[!].zip
